,Year,Tesla_Sales,IXIC,CL,Household Income,Family Income,Capita Income,Vehicle_Sales
0,2009,111.943,1845.3849618094307,62.09408750988188,63573,77322,33430,10347715
1,2010,116.744,2349.893531436012,79.60988096206907,62323,75477,32452,11510416
2,2011,204.242,2677.4407503642733,95.1144047086201,60969,74192,32243,12695712
3,2012,413.256,2965.5588466796876,94.21352001953124,60732,73920,32297,15376264
4,2013,2013.496,3541.292187887525,98.04682525755867,60869,74593,32833,15490245
5,2014,3198.356,4375.103553408668,92.90678557138594,61468,75505,33094,16424017
6,2015,4046.025,4945.5535404265875,48.76134922390892,63784,78061,34284,17404970
7,2016,7000.132,4987.792947436136,43.435800033569336,65052,80231,35145,17500719
8,2017,11759.0,6235.298913720119,50.85326709215384,66687,81669,35807,17212565
9,2018,21461.0,7425.957811332793,64.94745023507046,66828,82434,36503,17323849
10,2019,24578.0,7940.12936546689,57.041825430733816,69638,85780,37803,17023894
11,2020,31536.0,10201.506434504694,39.3442687498251,70877,87269,38730,14697837
12,2021,53823.0,14371.66240389385,68.14525715824172,69717,85806,38332,14954805
